time,league,pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
lh,Algeria Youth League,GOOD,GOOD,0,0,1,2,1,0,0,2,7,12,27,37,40%,60%,True
fh,Qatar U23 League,GOOD,GOOD,0,4,1,5,4,8,7,8,51,74,85,89,41%,59%,True
lh,Qatar U23 League,GOOD,GOOD,0,5,1,2,2,5,1,5,26,40,39,41,44%,56%,False
fh,Saudi Arabia Premie...,GOOD,GOOD,0,0,1,7,3,9,3,10,55,85,61,95,36%,64%,True
lh,Saudi Arabia Premie...,GOOD,GOOD,0,1,0,3,1,3,3,5,28,38,36,49,40%,60%,False
fh,Northern Premier Le...,GOOD,GOOD,0,1,10,0,10,8,9,3,60,45,99,79,62%,38%,False
lh,Northern Premier Le...,GOOD,GOOD,0,1,7,1,6,7,5,1,27,20,50,36,61%,39%,True
fh,Southern League Div...,GOOD,GOOD,2,3,1,6,2,9,1,4,36,42,72,67,49%,51%,False
lh,Southern League Div...,GOOD,GOOD,2,5,2,1,2,5,0,3,18,20,33,31,49%,51%,False
fh,England League 2,GOOD,GOOD,0,1,3,1,5,3,13,3,65,40,97,85,61%,39%,True
lh,England League 2,GOOD,GOOD,1,2,3,2,2,2,3,3,24,22,49,49,55%,45%,False
fh,Southern League Div...,GOOD,GOOD,0,1,0,2,5,7,7,5,26,23,77,71,54%,46%,False
lh,Southern League Div...,GOOD,GOOD,0,2,7,1,1,3,3,4,12,11,43,39,41%,59%,False
fh,Northern Premier Le...,GOOD,GOOD,1,1,3,1,6,5,9,1,45,40,93,70,62%,38%,False
lh,Northern Premier Le...,GOOD,GOOD,2,3,4,2,3,1,5,0,26,18,50,36,65%,35%,True
fh,Northern League Div...,GOOD,GOOD,1,0,0,1,2,4,5,4,27,32,54,63,49%,51%,False
lh,Northern League Div...,GOOD,GOOD,1,0,2,4,2,1,2,1,16,15,29,34,43%,57%,True
fh,Isthmian Premier Di...,GOOD,GOOD,0,1,3,1,6,6,5,6,46,39,98,88,67%,33%,True
lh,Isthmian Premier Di...,GOOD,GOOD,3,1,2,0,1,4,1,4,26,24,56,51,63%,37%,False
fh,Northern League Div...,GOOD,GOOD,1,1,2,1,2,4,8,8,42,38,76,77,53%,47%,True
lh,Northern League Div...,GOOD,GOOD,1,2,5,6,1,3,5,3,23,20,40,43,53%,47%,True
fh,Northern Premier Le...,GOOD,GOOD,1,0,2,1,8,3,6,8,78,92,80,111,42%,58%,True
lh,Northern Premier Le...,GOOD,GOOD,4,1,1,4,2,1,4,4,46,42,45,68,45%,55%,True
fh,Southern League Div...,GOOD,GOOD,2,1,2,6,8,10,10,6,37,36,90,91,52%,48%,True
lh,Southern League Div...,GOOD,GOOD,2,1,2,1,5,8,5,4,21,22,46,45,47%,53%,False
fh,Northern Ireland Pr...,GOOD,GOOD,2,0,2,6,10,4,7,6,35,23,87,87,48%,52%,True
lh,Northern Ireland Pr...,GOOD,GOOD,4,0,5,2,6,3,2,4,15,12,48,48,54%,46%,True
fh,Northern Ireland Pr...,GOOD,GOOD,0,0,3,2,2,2,5,3,51,33,145,117,58%,42%,True
lh,Northern Ireland Pr...,GOOD,GOOD,0,0,3,1,1,1,1,3,17,20,67,59,49%,51%,True
fh,England Isthmian Di...,GOOD,GOOD,0,2,1,4,1,9,2,7,17,46,91,117,38%,62%,False
lh,England Isthmian Di...,GOOD,GOOD,0,3,1,3,1,5,2,2,6,25,49,62,38%,62%,False
fh,Northern League Div...,GOOD,GOOD,2,2,0,1,6,4,3,6,51,38,92,83,55%,45%,False
lh,Northern League Div...,GOOD,GOOD,3,2,2,1,4,4,0,4,22,18,47,34,59%,41%,False
fh,England League 2,GOOD,GOOD,1,1,3,1,4,1,8,7,50,43,93,111,49%,51%,True
lh,England League 2,GOOD,GOOD,2,1,2,0,3,1,2,2,24,27,48,59,43%,57%,False
fh,England Isthmian Di...,GOOD,GOOD,2,0,1,2,8,9,11,7,36,33,93,83,49%,51%,True
lh,England Isthmian Di...,GOOD,GOOD,5,0,3,3,5,2,5,5,22,17,50,43,48%,52%,False
fh,Northern Ireland Ch...,GOOD,GOOD,1,2,4,0,6,8,11,6,62,35,96,82,56%,44%,True
lh,Northern Ireland Ch...,GOOD,GOOD,2,2,2,1,3,5,5,5,30,16,44,39,55%,45%,False
fh,Isthmian Premier Di...,GOOD,GOOD,1,1,0,3,7,6,6,8,39,36,76,78,49%,51%,True
lh,Isthmian Premier Di...,GOOD,GOOD,1,3,3,1,3,2,1,4,17,17,33,42,54%,46%,True
fh,Northern League Div...,GOOD,GOOD,0,1,4,3,3,5,6,6,41,47,94,88,54%,46%,True
lh,Northern League Div...,GOOD,GOOD,0,1,2,2,1,4,2,3,13,27,45,45,52%,48%,True
fh,Israel Premier League,GOOD,GOOD,1,1,2,2,4,3,8,6,69,73,128,108,56%,44%,True
lh,Israel Premier League,GOOD,GOOD,1,1,2,1,4,2,5,5,36,34,73,52,57%,43%,True
fh,Tanzania Premier Le...,GOOD,GOOD,0,0,2,2,2,1,5,1,69,44,108,90,67%,33%,False
lh,Tanzania Premier Le...,GOOD,GOOD,2,1,3,2,0,0,2,0,35,21,55,43,67%,33%,False
fh,Iraq League,GOOD,GOOD,0,1,1,1,2,4,10,1,114,48,130,110,53%,47%,False
lh,Iraq League,GOOD,GOOD,0,1,2,0,1,2,3,0,60,21,69,52,52%,48%,False
fh,Saudi Arabia Premie...,GOOD,GOOD,2,2,5,2,7,8,5,1,67,60,119,111,51%,49%,False
lh,Saudi Arabia Premie...,GOOD,GOOD,3,4,0,2,6,3,3,0,31,30,57,53,52%,48%,True
fh,Israel Liga Bet South,GOOD,GOOD,1,0,0,3,2,5,0,12,36,77,92,109,49%,51%,True
lh,Israel Liga Bet South,GOOD,GOOD,1,1,1,2,2,3,0,4,15,37,43,55,46%,54%,False
fh,Northern Ireland Pr...,GOOD,GOOD,1,1,1,6,5,4,6,2,23,29,85,77,47%,53%,False
lh,Northern Ireland Pr...,GOOD,GOOD,2,3,3,3,2,1,1,2,7,13,42,40,40%,60%,True
fh,Barclays Premier Le...,GOOD,GOOD,0,3,6,1,6,5,16,5,78,56,111,96,62%,38%,True
lh,Barclays Premier Le...,GOOD,GOOD,2,3,3,0,3,5,9,3,28,25,41,54,60%,40%,False
fh,Israel Premier League,GOOD,GOOD,0,0,4,0,3,2,6,1,74,24,146,98,65%,35%,False
lh,Israel Premier League,GOOD,GOOD,0,0,2,0,2,0,4,0,40,6,69,44,63%,37%,False
fh,Israel Youth League,GOOD,GOOD,0,0,1,4,0,6,3,4,53,69,109,99,50%,50%,False
lh,Israel Youth League,GOOD,GOOD,0,1,0,2,0,4,2,1,24,36,50,45,48%,52%,False
fh,Israel Liga Bet South,GOOD,GOOD,0,2,1,1,1,4,4,6,49,95,104,143,40%,60%,False
lh,Israel Liga Bet South,GOOD,GOOD,1,4,1,0,0,2,1,4,34,44,63,73,40%,60%,False
fh,Australia W-League,GOOD,GOOD,2,0,3,4,8,6,8,3,40,37,104,66,56%,44%,True
lh,Australia W-League,GOOD,GOOD,2,4,1,2,5,1,4,3,20,17,52,31,58%,42%,False
fh,Hong Kong FA Cup Ju...,GOOD,GOOD,0,2,1,3,5,7,3,8,46,83,87,101,42%,58%,False
lh,Hong Kong FA Cup Ju...,GOOD,GOOD,0,4,6,2,3,4,0,7,16,47,44,56,42%,58%,False
fh,Hong Kong FA Cup Ju...,GOOD,GOOD,0,2,2,1,3,7,6,5,34,39,62,80,52%,48%,True
lh,Hong Kong FA Cup Ju...,GOOD,GOOD,0,2,1,1,3,4,3,5,22,24,29,39,49%,51%,True
fh,Hong Kong 1st Division,GOOD,GOOD,0,1,1,4,9,3,9,5,63,36,74,56,60%,40%,False
lh,Hong Kong 1st Division,GOOD,GOOD,4,1,1,0,2,3,4,3,29,18,35,26,61%,39%,False
fh,Hong Kong FA Cup Ju...,GOOD,GOOD,1,0,3,1,7,8,6,7,56,43,87,82,52%,48%,False
lh,Hong Kong FA Cup Ju...,GOOD,GOOD,1,3,2,0,6,5,4,2,28,16,41,38,50%,50%,True
fh,Indonesia Liga 3,GOOD,GOOD,2,1,4,0,10,2,9,0,41,11,72,39,54%,46%,False
lh,Indonesia Liga 3,GOOD,GOOD,7,1,0,0,4,2,7,0,25,10,41,21,53%,47%,False
fh,Hong Kong Cup,GOOD,GOOD,1,0,3,1,8,4,7,4,85,46,83,67,54%,46%,True
lh,Hong Kong Cup,GOOD,GOOD,3,2,1,1,5,1,5,3,37,25,41,28,53%,47%,False
fh,Indonesia Liga 3,GOOD,GOOD,3,1,3,4,7,3,7,3,46,47,79,77,53%,47%,True
lh,Indonesia Liga 3,GOOD,GOOD,3,2,2,3,4,1,3,1,28,26,46,42,51%,49%,True
fh,Hong Kong FA Cup Ju...,GOOD,GOOD,4,0,7,1,17,4,5,9,66,27,100,52,64%,36%,False
lh,Hong Kong FA Cup Ju...,GOOD,GOOD,7,0,1,2,11,1,4,1,44,8,58,20,63%,37%,False
fh,Hong Kong FA Cup Ju...,GOOD,GOOD,0,0,1,4,2,4,1,8,37,60,50,67,52%,48%,False
lh,Hong Kong FA Cup Ju...,GOOD,GOOD,1,1,1,5,1,0,0,4,20,29,29,36,51%,49%,False
fh,Hong Kong FA Cup Ju...,GOOD,GOOD,1,2,3,1,3,2,1,2,70,48,124,113,54%,46%,True
lh,Hong Kong FA Cup Ju...,GOOD,GOOD,3,2,4,4,1,2,1,1,37,23,70,56,58%,42%,True
fh,Hong Kong FA Cup Ju...,GOOD,GOOD,1,0,4,3,10,2,13,3,56,28,96,58,56%,44%,True
lh,Hong Kong FA Cup Ju...,GOOD,GOOD,4,0,2,3,5,1,5,2,29,12,52,22,61%,39%,False
fh,Hong Kong FA Cup Ju...,GOOD,GOOD,3,0,4,1,11,2,10,5,73,25,92,62,63%,37%,True
lh,Hong Kong FA Cup Ju...,GOOD,GOOD,5,2,2,0,6,0,3,2,37,10,53,29,61%,39%,False
fh,Turkey U19 League,GOOD,GOOD,0,0,5,0,5,0,4,3,87,46,98,90,59%,41%,False
lh,Turkey U19 League,GOOD,GOOD,5,0,2,1,0,0,3,2,43,20,51,50,60%,40%,True
fh,Cyprus Women Cup,GOOD,GOOD,1,1,3,0,15,1,13,3,62,28,97,64,61%,39%,True
lh,Cyprus Women Cup,GOOD,GOOD,3,1,1,3,8,1,1,2,25,12,44,32,63%,37%,True
fh,Cyprus Women Divisi...,GOOD,GOOD,0,1,2,1,5,6,4,3,43,48,64,70,45%,55%,False
lh,Cyprus Women Divisi...,GOOD,GOOD,2,1,2,4,2,3,3,2,22,28,37,43,46%,54%,True
fh,Cyprus Women Divisi...,GOOD,GOOD,0,8,0,5,1,22,1,15,8,57,39,78,35%,65%,False
lh,Cyprus Women Divisi...,GOOD,GOOD,0,12,0,2,0,13,1,8,2,28,10,39,22%,78%,False
fh,Cyprus Women Divisi...,GOOD,GOOD,2,0,13,0,23,1,15,1,58,9,79,31,65%,35%,True
lh,Cyprus Women Divisi...,GOOD,GOOD,6,0,9,0,12,0,5,0,31,3,45,17,61%,39%,False
fh,Algeria Youth League,GOOD,GOOD,0,0,3,0,6,2,12,4,66,32,101,97,53%,47%,True
lh,Algeria Youth League,GOOD,GOOD,1,0,2,3,4,2,8,1,36,13,59,57,54%,46%,True
fh,Indonesia Liga 3,GOOD,CLOUDY,2,1,3,6,3,3,4,3,30,38,76,65,56%,44%,True
lh,Indonesia Liga 3,GOOD,CLOUDY,2,2,0,2,2,2,4,2,26,19,42,35,49%,51%,False
fh,Hong Kong Premier L...,GOOD,GOOD,0,0,1,1,5,4,9,2,34,29,86,81,54%,46%,True
lh,Hong Kong Premier L...,GOOD,GOOD,0,1,2,1,0,2,6,2,17,14,43,36,59%,41%,True
fh,Hong Kong FA Cup Ju...,GOOD,GOOD,1,2,1,3,8,4,9,6,65,33,109,77,60%,40%,True
lh,Hong Kong FA Cup Ju...,GOOD,GOOD,3,3,5,0,3,2,1,3,21,16,50,34,58%,42%,True
fh,Hong Kong FA Cup Ju...,GOOD,GOOD,3,0,6,1,11,5,9,7,79,55,122,93,59%,41%,True
lh,Hong Kong FA Cup Ju...,GOOD,GOOD,5,1,1,1,6,1,8,4,52,23,67,45,64%,36%,False
